Test Number, Average Error, Result 1, Result 2, Result 3, Result 4, Result 5, Result 6, Result 7, Result 8, Result 9
264,0.0148907,0.500677,-2.12322e-05,0.000395268,0.50045,8.07026e-05,-0.000220265,0.500673,0.971362,0.000512366
265,0.0148377,0.500674,-2.11355e-05,0.000393468,0.500448,8.03351e-05,-0.000219262,0.50067,0.971423,0.000510033
266,0.014785,0.50067,-2.10396e-05,0.000391682,0.500446,7.99705e-05,-0.000218267,0.500667,0.971484,0.000507718
267,0.0147326,0.500667,-2.09445e-05,0.000389911,0.500444,7.96089e-05,-0.00021728,0.500664,0.971545,0.000505422
268,0.0146805,0.500664,-2.08501e-05,0.000388154,0.500441,7.92502e-05,-0.000216301,0.500661,0.971605,0.000503145
269,0.0146288,0.500661,-2.07565e-05,0.000386411,0.500439,7.88944e-05,-0.00021533,0.500658,0.971664,0.000500886
270,0.0145773,0.500658,-2.06636e-05,0.000384683,0.500437,7.85414e-05,-0.000214367,0.500655,0.971724,0.000498645
271,0.0145262,0.500655,-2.05715e-05,0.000382968,0.500436,7.81912e-05,-0.000213411,0.500652,0.971783,0.000496422
272,0.0144754,0.500652,-2.04801e-05,0.000381266,0.500434,7.78438e-05,-0.000212463,0.500649,0.971842,0.000494216
273,0.0144249,0.50065,-2.03894e-05,0.000379578,0.500432,7.74992e-05,-0.000211522,0.500646,0.9719,0.000492028
274,0.0143747,0.500647,-2.02994e-05,0.000377903,0.50043,7.71572e-05,-0.000210589,0.500643,0.971958,0.000489857
275,0.0143248,0.500644,-2.02102e-05,0.000376241,0.500428,7.6818e-05,-0.000209663,0.500641,0.972016,0.000487703
276,0.0142753,0.500641,-2.01216e-05,0.000374593,0.500426,7.64813e-05,-0.000208744,0.500638,0.972073,0.000485566
277,0.014226,0.500638,-2.00338e-05,0.000372957,0.500424,7.61473e-05,-0.000207832,0.500635,0.97213,0.000483446
278,0.014177,0.500635,-1.99466e-05,0.000371334,0.500422,7.58159e-05,-0.000206928,0.500632,0.972187,0.000481341
279,0.0141283,0.500633,-1.986e-05,0.000369723,0.50042,7.54871e-05,-0.00020603,0.500629,0.972243,0.000479254
280,0.0140799,0.50063,-1.97742e-05,0.000368125,0.500419,7.51608e-05,-0.00020514,0.500627,0.9723,0.000477182
281,0.0140319,0.500627,-1.9689e-05,0.000366539,0.500417,7.4837e-05,-0.000204256,0.500624,0.972355,0.000475126
282,0.0139841,0.500624,-1.96045e-05,0.000364965,0.500415,7.45156e-05,-0.000203379,0.500621,0.972411,0.000473086
283,0.0139366,0.500622,-1.95206e-05,0.000363403,0.500413,7.41967e-05,-0.000202509,0.500619,0.972466,0.000471062
284,0.0138893,0.500619,-1.94373e-05,0.000361853,0.500411,7.38803e-05,-0.000201645,0.500616,0.972521,0.000469052
285,0.0138424,0.500616,-1.93547e-05,0.000360315,0.50041,7.35662e-05,-0.000200788,0.500613,0.972575,0.000467059
286,0.0137958,0.500614,-1.92727e-05,0.000358788,0.500408,7.32545e-05,-0.000199937,0.500611,0.972629,0.00046508
287,0.0137494,0.500611,-1.91913e-05,0.000357273,0.500406,7.29452e-05,-0.000199093,0.500608,0.972683,0.000463116
288,0.0137033,0.500608,-1.91105e-05,0.000355769,0.500404,7.26381e-05,-0.000198255,0.500605,0.972737,0.000461166
289,0.0136575,0.500606,-1.90303e-05,0.000354277,0.500403,7.23334e-05,-0.000197423,0.500603,0.97279,0.000459232
290,0.013612,0.500603,-1.89508e-05,0.000352795,0.500401,7.20309e-05,-0.000196597,0.5006,0.972843,0.000457311
291,0.0135668,0.500601,-1.88718e-05,0.000351325,0.500399,7.17307e-05,-0.000195778,0.500598,0.972896,0.000455405
292,0.0135218,0.500598,-1.87934e-05,0.000349865,0.500398,7.14327e-05,-0.000194965,0.500595,0.972949,0.000453513
293,0.0134771,0.500596,-1.87155e-05,0.000348416,0.500396,7.11369e-05,-0.000194157,0.500593,0.973001,0.000451635
294,0.0134327,0.500593,-1.86383e-05,0.000346978,0.500394,7.08432e-05,-0.000193356,0.50059,0.973053,0.000449771
295,0.0133885,0.500591,-1.85616e-05,0.000345551,0.500393,7.05517e-05,-0.00019256,0.500588,0.973104,0.00044792
296,0.0133446,0.500588,-1.84855e-05,0.000344133,0.500391,7.02624e-05,-0.00019177,0.500585,0.973156,0.000446083
297,0.013301,0.500586,-1.84099e-05,0.000342726,0.500389,6.99751e-05,-0.000190986,0.500583,0.973207,0.000444259
298,0.0132576,0.500584,-1.83349e-05,0.00034133,0.500388,6.96899e-05,-0.000190208,0.500581,0.973257,0.000442449
299,0.0132145,0.500581,-1.82604e-05,0.000339943,0.500386,6.94068e-05,-0.000189435,0.500578,0.973308,0.000440651
300,0.0131717,0.500579,-1.81864e-05,0.000338566,0.500385,6.91257e-05,-0.000188668,0.500576,0.973358,0.000438867
301,0.0131291,0.500576,-1.8113e-05,0.000337199,0.500383,6.88467e-05,-0.000187906,0.500574,0.973408,0.000437095
302,0.0130868,0.500574,-1.80401e-05,0.000335842,0.500382,6.85696e-05,-0.00018715,0.500571,0.973458,0.000435336
303,0.0130447,0.500572,-1.79677e-05,0.000334495,0.50038,6.82945e-05,-0.000186399,0.500569,0.973507,0.000433589
304,0.0130029,0.500569,-1.78959e-05,0.000333157,0.500378,6.80214e-05,-0.000185654,0.500567,0.973557,0.000431855
305,0.0129614,0.500567,-1.78245e-05,0.000331829,0.500377,6.77502e-05,-0.000184914,0.500564,0.973606,0.000430134
306,0.0129201,0.500565,-1.77537e-05,0.00033051,0.500375,6.74809e-05,-0.000184179,0.500562,0.973654,0.000428424
